,id,date,fav,followers,f/fo,content,buz_factor
62,1245313004612112386,2020-04-01 11:32:11,104,1801,0.05774569683509161,ヤグラ９勝 #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/mv1K5QhdqE,0.1860640142043731
80,1244867530834841600,2020-03-31 06:02:02,108,362,0.2983425414364641,2800きたー！！！今までマッチングした味方全員に感謝　 #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/tCLY665a7w,0.19115534394167896
27,1246232084219215872,2020-04-04 00:24:17,118,951,0.12407991587802314,"諦めない事が大事(○´∀`○)

 #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/Dvom57TqGQ",0.20977253915814953
68,1245165328037892096,2020-04-01 01:45:22,120,1234,0.09724473257698542,チャクチ刺さるとまじ強いよな #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/u2zXxO8Z1Y,0.21377929826173211
34,1246051405971869696,2020-04-03 12:26:20,119,4016,0.02963147410358566,Squiffer Time #Splatoon2 #NintendoSwitch https://t.co/FoUETz9FJJ,0.21650015129000577
60,1245337906044002304,2020-04-01 13:11:08,114,11724,0.009723643807574206,10連勝～ #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/r2urPr6Jb4,0.2203707016134375
10,1246679351724093440,2020-04-05 06:01:34,125,119,1.050420168067227,"赤いくらカンストあざすwwww
#Splatoon2 #サーモンラン #赤いくら乱獲 https://t.co/xPQXqYUdcI",0.22084604725152504
13,1246531391409418240,2020-04-04 20:13:37,122,3943,0.030940907938118184,"#Splatoon2 #スプラトゥーン2 #NintendoSwitch
#朝活ホコガチマ　#味方ナイス　#タッチダウンは私だ

最初押されてたけど！
やったね(*´▽`*)♪♪ https://t.co/4GkuUdBC58",0.22183451438883073
65,1245247862826340353,2020-04-01 07:13:20,120,6820,0.017595307917888565,#Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/tPj6g0h03u,0.22309497412592905
25,1246357654915579904,2020-04-04 08:43:15,129,804,0.16044776119402984,you can go on the bridge too #Splatoon2 #NintendoSwitch https://t.co/hYU6KFcYhi,0.2290764156473683
12,1246551311543185410,2020-04-04 21:32:47,126,8396,0.01500714626012387,wtf was that #Splatoon2 #NintendoSwitch https://t.co/FBesIIyk2h,0.2371655080623742
